user_id,age,isFemale,factual_present,future,past,psychological_present
1096890014,33,0,0.0476,0.0952,0.0,0.4048
1096923895,21,1,0.0,0.0385,0.0,0.5385
1096954520,31,0,0.0417,0.0,0.0,0.5833
1096970994,29,1,0.0206,0.0,0.0,0.5773
1097651352,22,0,0.0698,0.0116,0.0116,0.4419
1098280853,29,1,0.1504,0.0,0.0,0.406
1099457943,25,0,0.0321,0.0,0.0,0.5321
1099476721,30,1,0.0345,0.0,0.0115,0.3563
1099509991,17,0,0.02,0.005,0.02,0.66
1099681427,28,1,0.0893,0.0,0.0,0.3036
1104893300,26,0,0.0,0.0,0.0,0.5781
1104908583,29,0,0.0,0.0,0.0,0.6296
1106258114,32,0,0.0,0.0,0.0,0.7324
1106636232,28,1,0.1628,0.0,0.0,0.4651
1108991472,20,1,0.0105,0.0,0.0211,0.6
1109403547,23,1,0.0,0.0,0.0,0.7121
1112092872,38,0,0.0,0.0,0.0,0.5
1112229021,40,0,0.0,0.0,0.0105,0.1368
1115958645,31,1,0.0351,0.0,0.0175,0.386
1116489373,51,0,0.0667,0.0,0.0,0.3667
1116940301,42,0,0.0,0.0,0.0,0.3784
1118249113,22,1,0.0331,0.0,0.0,0.558
1120091765,31,0,0.1143,0.0571,0.0571,0.5429
1130114287,36,0,0.0164,0.0164,0.0164,0.1967
1130673522,44,0,0.0,0.0,0.0163,0.5122
1131086584,29,0,0.0,0.037,0.037,0.3333
1131155101,28,1,0.046,0.0,0.023,0.5862
1131569055,23,1,0.0323,0.0,0.0,0.5161
1132277704,22,1,0.06,0.0,0.06,0.36
1132410050,43,0,0.0359,0.0,0.006,0.2994
1135199133,26,1,0.12,0.0,0.0,0.48
1135679637,28,1,0.0,0.0,0.0,0.7241
1136319950,33,1,0.0,0.0,0.0,0.7188
1136802071,23,1,0.0,0.0,0.0,0.5862
1136973764,32,1,0.087,0.0,0.0,0.3043
1137103261,24,1,0.0345,0.0172,0.0,0.6638
1140668155,29,1,0.0117,0.0117,0.0117,0.4737
1141266683,25,0,0.0211,0.0,0.0105,0.4895
1143768181,35,1,0.0549,0.0,0.011,0.4066
1144536005,32,1,0.0,0.0,0.0,0.5714
1145543455,34,0,0.0123,0.0,0.0062,0.4074
1146759574,31,0,0.0588,0.0,0.0,0.5588
1147281383,21,1,0.0385,0.0,0.0,0.75
1147907891,28,0,0.0128,0.0,0.0128,0.3974
1149259933,28,0,0.0146,0.0049,0.0098,0.5073
1150947053,14,0,0.0943,0.0,0.0189,0.4528
1151002917,43,1,0.0,0.06,0.06,0.36
1151173234,21,0,0.0,0.0175,0.0351,0.5263
1151450093,30,1,0.027,0.0,0.0811,0.4324
1151453425,28,0,0.0,0.02,0.0,0.74
1152144167,25,0,0.0164,0.0164,0.0,0.5082
1152615830,29,0,0.0067,0.0067,0.0133,0.3067
1153189013,24,0,0.0054,0.0,0.0054,0.4194
1153734304,35,0,0.0938,0.0313,0.0,0.3438
1153786995,17,0,0.025,0.0,0.0,0.7
1155350933,42,0,0.0,0.0,0.0,0.7742
1156454393,28,0,0.05,0.0,0.0,0.675
1157443575,27,1,0.0606,0.0,0.0,0.5758
1159021207,24,0,0.0461,0.0092,0.0092,0.4101
1160855704,21,1,0.0313,0.0,0.0,0.5
1163170710,22,1,0.0652,0.0,0.0,0.5217
1163799453,28,1,0.0455,0.0,0.0,0.4091
1165620430,30,0,0.0105,0.0,0.0,0.4947
1166969591,31,0,0.0067,0.0,0.0134,0.6174
1167576513,34,1,0.0,0.0,0.0,0.7895
1169391252,27,1,0.0526,0.0,0.0263,0.2632
1169424243,27,0,0.0732,0.0,0.0488,0.4878
1170266050,23,1,0.0309,0.0,0.0,0.5155
1170376981,31,0,0.0571,0.0,0.0,0.7429
1170807091,30,1,0.0044,0.0,0.0089,0.6133
1172984265,25,0,0.0259,0.0,0.0086,0.4397
1173740581,27,1,0.0556,0.0,0.0278,0.4167
1174140865,27,1,0.0469,0.0156,0.0,0.4688
1175326104,28,0,0.1053,0.0,0.0,0.4211
1175923097,20,1,0.0319,0.0053,0.0053,0.6277
1176282617,24,0,0.0,0.025,0.0,0.5
1177397404,25,1,0.0965,0.0351,0.0263,0.4474
1179526651,68,0,0.0252,0.0,0.0084,0.5546
1181560883,27,1,0.0179,0.0,0.0,0.6786
1182082504,26,1,0.0702,0.0175,0.0,0.4737
1183394043,29,1,0.015,0.01,0.005,0.495
